time	close	high	low	open	volumeto	volumefrom
1524800460	1378.61	1379.65	1378.43	1379.26	78.79	108663.64
1524800520	1375.71	1378.9	1375.66	1378.54	264.8	364276.98
1524800580	1372.17	1375.71	1371.98	1375.71	207.61	285124.8
1524800640	1364.36	1372.21	1362.99	1372.17	541.67	739219.16
1524800700	1372.49	1372.49	1363.65	1364.36	140.28	191992.26
1524800760	1372.91	1372.91	1371.37	1372.49	69.42	95222.84
1524800820	1371.84	1374.17	1370.97	1372.91	141.71	194545.85
1524800880	1368.88	1372.49	1368.88	1371.84	65.89	90369.41
1524800940	1368.9	1369.36	1368.36	1368.88	149.74	205116.34
1524801000	1371.03	1371.08	1369.01	1369.19	45.25	61972.14
1524801060	1371.31	1372.37	1370.99	1371.03	122.46	167962.92
1524801120	1372.49	1372.49	1371.31	1371.31	10.49	14376.03
1524801180	1371.09	1372.49	1370.77	1372.49	59.17	81154.05
1524801240	1370.86	1371.43	1369.27	1371.09	28.31	38839.33
1524801300	1366.89	1370.57	1365.8	1370.57	76.75	104835.23
1524801360	1366.84	1366.93	1366.07	1366.89	14.78	20225.15
1524801420	1363.56	1366.84	1363.42	1366.84	44.61	60863.38
1524801480	1362.96	1364.55	1362.91	1363.56	49.78	67851.49
1524801540	1364.3	1364.7	1362.7	1362.96	86.36	117963.05
1524801600	1363.15	1364.34	1361.9	1364.3	66.97	91055.16
1524801660	1360.86	1363.15	1360.67	1363.15	53.01	72174.54
1524801720	1361.26	1361.3	1360.52	1360.86	34.12	46401.21
1524801780	1361.18	1361.49	1359.91	1361.26	110.52	150290.17
1524801840	1362	1362.37	1360.36	1361.18	51.21	69778.22
1524801900	1364.5	1364.77	1362	1362	131.5	179489.28
1524801960	1373.69	1373.89	1364.56	1364.56	208.56	285730.04
1524802020	1376.1	1377	1373.59	1373.69	160.34	220509.31
1524802080	1380.31	1381.66	1375.91	1376.1	208.1	287177.77
1524802140	1375.36	1379.09	1374.13	1378.86	139.38	191926.29
1524802200	1377.24	1379.26	1375.94	1375.94	99.29	136788.54
1524802260	1375.5	1377.55	1375.5	1377.33	82.05	113012.22
1524802320	1376.87	1376.98	1374.3	1375.5	51.21	70403.42
1524802380	1377.03	1377.97	1376.57	1376.88	22.9	31554.97
1524802440	1376.33	1377.03	1375.77	1377.03	20.41	28089.44
1524802500	1374.18	1376.46	1374.08	1376.33	32.54	44746.48
1524802560	1375.78	1376.01	1374	1374	18.01	24810.25
1524802620	1376.01	1376.01	1375.75	1375.9	7.04	9703.02
1524802680	1379.46	1379.94	1376.01	1376.01	90.17	124501.11
1524802740	1383.43	1384.42	1380.81	1380.81	85.6	118458.97
1524802800	1381.95	1383.43	1380.1	1383.43	51.68	71439.85
1524802860	1382.02	1382.81	1381.43	1381.95	6.78	9384.27
1524802920	1384.16	1384.16	1381.43	1382.02	77.12	106582.16
1524802980	1385.16	1385.16	1384.16	1384.16	17.68	24517.9
1524803040	1385.71	1385.77	1384.67	1385.16	76.52	105970.12
1524803100	1387.34	1387.66	1385.04	1385.71	72.93	101116.94
1524803160	1390.27	1390.27	1387.14	1387.14	41.25	57306.89
1524803220	1390.35	1393.59	1390.27	1390.27	201.8	281093.16
1524803280	1394.01	1395.17	1390.31	1392.03	281.63	393559.59
1524803340	1396.31	1396.79	1393.9	1393.9	55.97	78164.36
1524803400	1396.73	1397.2	1395.67	1396.32	72.07	100729.62
1524803460	1396.11	1398.4	1396.11	1396.73	219.96	307767.43
1524803520	1394.34	1396.11	1393.26	1396.11	53.83	75082.1
1524803580	1394.8	1394.94	1392.89	1394.34	32.02	44620.27
1524803640	1392.68	1394.8	1392.01	1394.8	30	41797.2
1524803700	1392.79	1393.56	1392.67	1392.68	7.98	11112.08
